finding_id,section_ref,scope_eir,requirement_family,control_ref,control_title,rating,assessment_method,finding_summary,source_ref,source_page_start,source_page_end,source_confidence,human_validated,reviewer,reviewed_at,direct_action_ids,family_action_ids,mapping_status,notes
F-0026,7.1.26,Szervezet,9,9.1,Szabályzat és eljárásrendek,Kis mértékű eltérés,"Dokumentum, Interjú","A biztonsági eseménykezelési szabályzatot nem ismertették meg megfelelően az érintett személyekkel, így kulcsszereplők nem ismerik a megfelelő eljárásokat. Nem történt felelős kijelölése az eseménykezelési szabályzat és eljárások irányítására, hiányoznak a szükséges irányító szerepkörök. A felülvizsgálat gyakorisága nincs meghatározva, ami miatt a dokumentum elavulhat idővel. Nem történt dokumentált kidolgozás az eseménykezelési szabályzat céljaihoz és felelősségekhez kapcsolódóan.",SRC-008,45,47,machine_unvalidated,no,,,A-013,,DIRECT,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0027,7.1.27,Szervezet,9,9.2,Képzés a biztonsági események kezelésére,Kiemelt mértékű eltérés,"Dokumentum, Teszt","A biztonsági eseménykezelési képzés rendszertelen vagy formális jellegű, a szerepkörökre és felelősségekre szabott tartalom hiányzik. Az anyagok elavultak, és a felhasználók nincsenek megfelelően felkészítve az események hatékony kezelésére, ami a reagálás késedelmét és a károk növekedését eredményezheti.",SRC-008,47,49,machine_unvalidated,no,,,A-013,,DIRECT,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0028,7.1.28,Szervezet,9,9.9,Biztonsági események kezelése,Kiemelt mértékű eltérés,"Dokumentum, Interjú, Teszt","Az eseménykezelési folyamat nem átfogó, a felkészülés, észlelés, reagálás és helyreállítás lépései hiányosan vagy rendszertelenül valósulnak meg. A dokumentálás nem egységes, az üzletmenet - folytonossági integráció gyenge, a tanulságok feldolgozása elmarad, ami az incidenskezelés hatékonyságát jelentősen rontja.",SRC-008,49,50,machine_unvalidated,no,,,A-013,,DIRECT,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0029,7.1.29,Szervezet,9,9.25,A biztonsági események nyomonkövetése,Kiemelt mértékű eltérés,"Dokumentum, Teszt","A biztonsági események nyomon követése rendszertelen, a dokumentálás hiányos vagy nem standardizált. Az események feldolgozása késedelmes, és a tapasztalatok nem kerülnek visszacsatolásra a biztonsági folyamatok fejlesztésébe. Ez akadályozza az incidensek hatékony kezelését és tanulságainak beépítését.",SRC-008,50,50,machine_unvalidated,no,,,,,UNMAPPED,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0030,7.1.30,Szervezet,9,9.27,A biztonsági események jelentése,Kiemelt mértékű eltérés,"Dokumentum, Teszt","A szervezetnél a biztonsági események jelentésére vonatkozó folyamat hiányos vagy nem egységes. A személyzet nincs megfelelően tájékoztatva a jelentési kötelezettségről, a bejelentési csatornák nincsenek formalizálva, és a jogszabályban előírt bejelentések esetenként elmaradnak.",SRC-008,50,51,machine_unvalidated,no,,,,,UNMAPPED,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0031,7.1.31,Szervezet,9,9.31,Segítségnyújtás a biztonsági események kezeléséhez,Kiemelt mértékű eltérés,Dokumentum,"A segítségnyújtás formális vagy ad hoc jellegű, a felhasználók számára nem biztosított egyértelmű eljárás vagy kontaktpont a biztonsági események bejelentésére és kezelésére. A támogatás hiánya növeli a hibás reagálás vagy az események elhallgatásának kockázatát.",SRC-008,51,51,machine_unvalidated,no,,,,,UNMAPPED,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0032,7.1.32,Szervezet,9,9.34,Biztonsági eseménykezelési terv,Kis mértékű eltérés,Dokumentum,"Az eseménykezelési terv felülvizsgálata és jóváhagyása nem történik meg a meghatározott gyakorisággal, ami növeli az elavult információk kockázatát. Nem történt dokumentált frissítés az eseménykezelési tervben, annak ellenére, hogy végrehajtás vagy tesztelés során problémák merültek fel és javításokra volt szükség. A módosított eseménykezelési terv megismertetési kötelezettsége az érintett szerepkörökhöz rendelve rögzített, de nem biztosított a megfelelő tájékoztatás. Hiányzik a dokumentum, amely igazolná, hogy a kijelölt személyekkel az eseménykezelési tervet megismerték volna.",SRC-008,51,54,machine_unvalidated,no,,,A-013,,DIRECT,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0033,7.1.33,Szervezet,10,10.1,Szabályzat és eljárásrendek,Kis mértékű eltérés,"Dokumentum, Interjú","A karbantartási szabályzat felülvizsgálati gyakorisága nincs dokumentáltan megfelelően rögzítve. Az események listája, amelyek a szabályzat felülvizsgálatát indokolják, nincs megfelelően rögzítve vagy nem teljes körűl. Nem igazolható, hogy a karbantartási szabályzatot azl előírt gyakorisággal felülvizsgálták és frissítették, hiányzik a megfelelőségi nyilvántartás. Hiányzik a frissítési terv, amely biztosítaná az események bekövetkezte után történő karbantartási eljárások frissítését.",SRC-008,54,56,machine_unvalidated,no,,,A-019,,DIRECT,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0034,7.1.34,Szervezet,10,10.2,Szabályozott karbantartás,Kiemelt mértékű eltérés,"Dokumentum, Teszt","A karbantartási folyamat szabályozása hiányos: az engedélyezési, adatvédelmi vagy ellenőrzési lépések nem egységesen kerülnek alkalmazásra. Az adathordozók biztonságos törlése vagy a védelmi intézkedések ellenőrzése elmarad, ami adatvédelmi és működési kockázatot jelent.",SRC-008,56,58,machine_unvalidated,no,,,,,UNMAPPED,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0035,7.1.35,Szervezet,10,10.11,Távoli karbantartás,Kiemelt mértékű eltérés,"Dokumentum, Teszt","A távoli karbantartás biztonsági kontrolljai hiányosak: a tevékenységek engedélyezése, felügyelete vagy lezárása nem következetes. A hitelesítési eljárások gyengék vagy elmaradnak, és a nyilvántartások pontatlanok, ami jelentős biztonsági kockázatot jelent a hálózati hozzáférések során.",SRC-008,58,59,machine_unvalidated,no,,,,,UNMAPPED,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0036,7.1.36,Szervezet,10,10.18,Karbantartó személyek,Kiemelt mértékű eltérés,Dokumentum,"A hozzáférési jogosultságok kezelése és ellenőrzése hiányos, a nyilvántartás nem naprakész, és a karbantartási tevékenységek során a felügyelet gyakran elmarad. A jogosultságok megadásának és visszavonásának folyamata nem szabályozott, így fennáll az illetéktelen hozzáférés kockázata.",SRC-008,59,59,machine_unvalidated,no,,,,,UNMAPPED,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0037,7.1.37,Szervezet,11,11.1,Szabályzat és eljárásrendek,Kis mértékű eltérés,"Dokumentum, Interjú","A szabályzatot nem ismertették meg az érintettekkel, ami növeli a tudatlanság kockázatát. Nem történt meg a felelős személy kijelölése az adathordozók védelmére vonatkozó szabályzat és eljárások irányítására. Az adathordozók védelmére vonatkozó szabályzat felülvizsgálata és frissítése nem történik meg megfelelően. Nem történt meg a dokumentált kialakítás az eljárások megismertetése, ami növeli a megfelelési kockázatot az adathordozók védelmére nézve.",SRC-008,59,62,machine_unvalidated,no,,,A-037,,DIRECT,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0038,7.1.38,Szervezet,11,11.2,Hozzáférés az adathordozókhoz,Kiemelt mértékű eltérés,"Dokumentum, Teszt","A hozzáférés -szabályozás hiányos vagy nem következetesen alkalmazott. Az adathordozókhoz több személy is hozzáférhet megfelelő engedély nélkül, vagy a jogosultsági lista nem naprakész. Az engedélyezési folyamat dokumentálása hiányzik, ami adatbiztonsági kockázatot jelent.",SRC-008,62,63,machine_unvalidated,no,,,A-037,,DIRECT,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0039,7.1.39,Szervezet,11,11.8,Adathordozók törlése,Kis mértékű eltérés,"Dokumentum, Teszt","Nem kerültek megfelelően meghatározásra azon adathordozók és törlési technikák, melyeket alkalmazni szükséges leselejtezés előtt. A szervezet nem határozta meg azokat az adathordozókat, melyek tartalmát az újra felhasználást megelőzően törölni szükségesl. Hiányzik a dokumentáció, amely igazolná a biztonságos törlési technikák meghatározását és azok alkalmazását.",SRC-008,63,64,machine_unvalidated,no,,,A-037,,DIRECT,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0040,7.1.40,Szervezet,11,11.14,Adathordozók használata,Kis mértékű eltérés,"Dokumentum, Interjú, Teszt","A szervezet nem gondoskodott megfelelően az egyes adathordozók tiltásáról vagy korlátozásáról és az azt kikényszerítő mechanizmusokról, ami növeli a kockázatot. A szervezet nem tiltja megfelelő módon azon hordozható tárolóeszközök használatát az EIR -ekben, amely nem azonosítható tulajdonosa a biztonságos gyakorlatok szerint. Nincs megfelelően szabályozva az adathordozók használata a biztonsági szempontok alapján az EIR-kben található rendszerelemeknél.",SRC-008,64,65,machine_unvalidated,no,,,A-037,,DIRECT,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0041,7.1.41,Szervezet,12,12.1,Szabályzat és eljárásrendek,Kis mértékű eltérés,"Dokumentum, Interjú","A fizikai védelmi szabályzat nem került kihirdetésre és megismertetésre a szervezet által meghatározott személyekkel vagy szerepkörökkel. A fizikai védelmi szabályzatot nem vizsgálják felül és frissítik rendszeresen a szervezet által meghatározott esemény eket követően, ami növeli az elavult információk kockázatát. Hiányzik a dokumentáció, amely igazolná a szabályzat céljának és hatályának meghatározását.",SRC-008,65,68,machine_unvalidated,no,,,A-020,,DIRECT,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0042,7.1.42,Szervezet,12,12.2,A fizikai belépési engedélyek,Kiemelt mértékű eltérés,"Dokumentum, Interjú","A belépési jogosultságok nyilvántartása nem naprakész, a jogosulatlan személyek eltávolítása késedelmes, vagy a kiadott azonosítók kezelésére nincs megfelelő kontroll. Az elvárt intézkedés fő célja, a fizikai hozzáférés korlátozása, nem teljesül.",SRC-008,68,69,machine_unvalidated,no,,,A-020,,DIRECT,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
F-0043,7.1.43,Szervezet,12,12.6,A fizikai belépés ellenőrzése,Kiemelt mértékű eltérés,"Dokumentum, Teszt","A szervezet nem minden esetben biztosítja, hogy kizárólag ellenőrzött pontokon keresztül történjen a belépés, a belépési naplók hiányosak, vagy a kulcsok és hozzáférési kódok kezelése nem megfelelően szabályozott. Ezáltal a fizikai biztonság alapvető célja , a jogosulatlan hozzáférés megakadályozása, nem valósul meg teljes mértékben.",SRC-008,69,71,machine_unvalidated,no,,,A-020,,DIRECT,Gépi PDF-kivonat; G1 emberi mintavétel és kivételkezelés szükséges.
