action_id,status,priority,complexity_band,procurement_gate,dependency_ids,previous_target_date,calculated_target_date,wave_id,sequencing_reason,calendar_completion_cap,operational_completion_cap,schedule_status,decision_ref
A-011,NEW,P0,SIMPLE,no,,2026-10-30,2026-10-30,W3,"gyors, B0 dokumentációs és szervezési feladat",2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-012,IN_PROGRESS,P0,SIMPLE,no,A-003,2026-12-15,2026-12-15,W4,egyszerű kontrollbevezetés és gyors javítás,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-013,NEW,P1,COMPLEX,no,,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-014,NEW,P1,SIMPLE,no,,2026-12-15,2026-12-15,W4,egyszerű kontrollbevezetés és gyors javítás,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-015,NEW,P1,COMPLEX,no,,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-016,NEW,P1,PROCUREMENT_GATED,yes,A-029,2027-07-30,2027-07-30,W8,beszerzési kapus vagy végső transzformációs feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-017,NEW,P0,COMPLEX,no,,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-018,NEW,P1,COMPLEX,no,,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-019,NEW,P1,COMPLEX,no,,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-020,NEW,P0,SIMPLE,no,,2026-10-30,2026-10-30,W3,"gyors, B0 dokumentációs és szervezési feladat",2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-021,NEW,P1,SIMPLE,no,,2026-12-15,2026-12-15,W4,egyszerű kontrollbevezetés és gyors javítás,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-022,NEW,P0,COMPLEX,no,,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-023,NEW,P0,COMPLEX,no,A-022,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-024,NEW,P1,PROCUREMENT_GATED,yes,A-022;A-029,2027-07-30,2027-07-30,W8,beszerzési kapus vagy végső transzformációs feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-025,NEW,P1,COMPLEX,no,,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-026,NEW,P1,COMPLEX,no,,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-027,NEW,P2,COMPLEX,no,,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-028,NEW,P2,COMPLEX,no,,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-029,NEW,P1,PROCUREMENT_GATED,yes,,2027-07-30,2027-07-30,W8,beszerzési kapus vagy végső transzformációs feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-030,NEW,P1,SIMPLE,no,,2026-10-30,2026-10-30,W3,"gyors, B0 dokumentációs és szervezési feladat",2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-031,NEW,P0,MODERATE,no,,2027-02-26,2027-02-26,W5,közepes összetettségű működési feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-032,NEW,P1,SIMPLE,no,,2026-12-15,2026-12-15,W4,egyszerű kontrollbevezetés és gyors javítás,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-033,NEW,P1,PROCUREMENT_GATED,yes,,2027-07-30,2027-07-30,W8,beszerzési kapus vagy végső transzformációs feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-034,NEW,P2,MODERATE,no,,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-035,IN_PROGRESS,P0,SIMPLE,no,,2026-10-30,2026-10-30,W3,"gyors, B0 dokumentációs és szervezési feladat",2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-036,IN_PROGRESS,P0,COMPLEX,no,A-001,2026-08-31,2026-08-31,W0,hatósági előfeltétel és azonnali irányítás,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-037,NEW,P1,COMPLEX,no,,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-038,NEW,P1,COMPLEX,no,A-015,2027-07-30,2027-07-30,W8,beszerzési kapus vagy végső transzformációs feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-039,NEW,P1,SIMPLE,no,A-005;A-011,2026-12-15,2026-12-15,W4,egyszerű kontrollbevezetés és gyors javítás,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-040,NEW,P1,SIMPLE,no,A-005;A-011;A-039,2027-02-26,2027-02-26,W5,közepes összetettségű működési feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-041,NEW,P1,PROCUREMENT_GATED,yes,A-010;A-021;A-029,2027-07-30,2027-07-30,W8,beszerzési kapus vagy végső transzformációs feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-042,NEW,P1,COMPLEX,no,A-003;A-005;A-012;A-031,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-043,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-044,NEW,P1,MODERATE,no,A-004;A-005,2027-02-26,2027-02-26,W5,közepes összetettségű működési feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-045,NEW,P0,MODERATE,no,A-004;A-005,2027-02-26,2027-02-26,W5,közepes összetettségű működési feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-046,NEW,P0,MODERATE,no,A-004;A-005,2027-02-26,2027-02-26,W5,közepes összetettségű működési feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-047,NEW,P0,MODERATE,no,A-004;A-005,2027-02-26,2027-02-26,W5,közepes összetettségű működési feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-048,NEW,P0,MODERATE,no,A-004;A-005,2027-02-26,2027-02-26,W5,közepes összetettségű működési feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-049,NEW,P0,MODERATE,no,A-004;A-005,2027-02-26,2027-02-26,W5,közepes összetettségű működési feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-050,NEW,P0,MODERATE,no,A-004;A-005,2027-02-26,2027-02-26,W5,közepes összetettségű működési feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-051,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-052,NEW,P0,MODERATE,no,A-004;A-005,2027-02-26,2027-02-26,W5,közepes összetettségű működési feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-053,NEW,P0,MODERATE,no,A-004;A-005,2027-02-26,2027-02-26,W5,közepes összetettségű működési feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-054,NEW,P0,MODERATE,no,A-004;A-005,2027-02-26,2027-02-26,W5,közepes összetettségű működési feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-055,NEW,P1,COMPLEX,no,A-004;A-005,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-056,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-057,NEW,P1,COMPLEX,no,A-004;A-005,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-058,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-059,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-060,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-061,NEW,P2,COMPLEX,no,A-004;A-005,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-062,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-063,NEW,P1,COMPLEX,no,A-004;A-005,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-064,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-065,NEW,P0,MODERATE,no,A-004;A-005,2027-02-26,2027-02-26,W5,közepes összetettségű működési feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-066,NEW,P0,MODERATE,no,A-004;A-005,2027-02-26,2027-02-26,W5,közepes összetettségű működési feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-067,NEW,P0,MODERATE,no,A-004;A-005,2027-02-26,2027-02-26,W5,közepes összetettségű működési feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-068,NEW,P1,COMPLEX,no,A-004;A-005,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-069,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-070,NEW,P1,COMPLEX,no,A-004;A-005,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-071,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-072,NEW,P1,MODERATE,no,A-004;A-005,2027-02-26,2027-02-26,W5,közepes összetettségű működési feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-073,NEW,P2,MODERATE,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-074,NEW,P0,MODERATE,no,A-004;A-005,2027-02-26,2027-02-26,W5,közepes összetettségű működési feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-075,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-076,NEW,P0,MODERATE,no,A-004;A-005,2027-02-26,2027-02-26,W5,közepes összetettségű működési feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-077,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-078,NEW,P0,MODERATE,no,A-004;A-005,2027-02-26,2027-02-26,W5,közepes összetettségű működési feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-079,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-080,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-081,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-082,NEW,P1,COMPLEX,no,A-004;A-005,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-083,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-084,NEW,P1,COMPLEX,no,A-004;A-005,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-085,NEW,P1,COMPLEX,no,A-004;A-005,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-086,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-087,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-088,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-089,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-090,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-091,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-092,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-093,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-094,NEW,P1,COMPLEX,no,A-004;A-005,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-095,NEW,P1,COMPLEX,no,A-004;A-005,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-096,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-097,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-098,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-099,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-100,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-101,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-102,NEW,P1,COMPLEX,no,A-004;A-005,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-103,NEW,P0,MODERATE,no,A-004;A-005,2027-02-26,2027-02-26,W5,közepes összetettségű működési feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-104,NEW,P0,MODERATE,no,A-004;A-005,2027-02-26,2027-02-26,W5,közepes összetettségű működési feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-105,NEW,P2,COMPLEX,no,A-004;A-005,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-106,NEW,P1,COMPLEX,no,A-004;A-005,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-107,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-108,NEW,P1,COMPLEX,no,A-004;A-005,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-109,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-110,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-111,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-112,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-113,NEW,P0,COMPLEX,no,A-004;A-005,2027-04-30,2027-04-30,W6,összetett előkészítés vagy P0 műszaki feladat,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
A-114,NEW,P1,COMPLEX,no,A-004;A-005,2027-06-30,2027-06-30,W7,összetett technikai megvalósítás és teszt,2027-08-01,2027-07-30,MANAGEMENT_BASELINE_D035_PENDING_FINAL_G4,DECISIONS.md:D-035
