control_ref,identifier_status,title_status,applicability_status,requirement_similarity,requirement_comparison_status,amendment_status,official_source_ref,official_pdf_pages,human_review_status,notes
1.11,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,46;47,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
1.12,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,47,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
1.13,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,47,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
1.14,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,47,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
1.15,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,47,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
1.16,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,47,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
1.17,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,47,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
1.18,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,47,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
1.19,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,47;48,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
1.20,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,48,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
1.21,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,48,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
1.22,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,48,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
1.23,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,48;49,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.1,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,49;50,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.2,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,50,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.3,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,50,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.4,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,50,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.5,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,50,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.6,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,50,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.7,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,50,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.8,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,50;51,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.9,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,51,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.10,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,51,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.11,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,51,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.12,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,51,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.13,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,51,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.14,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,51,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.15,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,51,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.16,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,51,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.17,MATCH,MATCH,MATCH,0.997819,TEXT_DIFFERENCE_REVIEW_REQUIRED,UNCHANGED_BY_18_2024,SRC-010,51;52,PENDING_G1_REVIEW,"Material negation difference: the workbook omits 'nem' from 2.17.2.4. Deterministic comparison only; not a legal or domain approval."
2.18,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,52,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.19,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,52,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.20,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,52,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.21,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,52,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.22,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,52,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.23,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,52,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.24,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,52,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.25,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,52,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.26,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,52;53,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.27,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,53,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.28,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,53,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.29,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,53,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.30,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,53,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.31,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,53,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.32,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,53,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.33,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,53,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.34,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,53,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.35,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,53,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.36,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,53,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.37,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,53,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.38,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,53,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.39,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,53,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.40,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,53;54,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.41,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,54,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.42,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,54,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.43,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,54,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.44,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,54,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.45,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,54,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.46,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,54,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.47,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,54,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.48,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,54,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.49,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,54,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.50,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,54,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.51,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,54,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.52,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,54,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.53,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,54,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.54,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,54;55,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.55,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,55,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.56,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,55,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.57,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,55,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.58,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,55,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.59,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,55,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.60,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,55,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.61,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,55,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.62,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,55,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.63,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,55,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.64,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,55,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.65,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,55,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.66,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,55;56,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.67,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,56,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.68,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,56,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.69,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,56,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.70,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,56,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.71,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,56,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.72,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,56,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.73,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,56,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.74,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,56;57,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.75,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,57,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.76,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,57,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.77,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,57,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.78,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,57,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.79,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,57,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.80,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,57,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.81,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,57,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.82,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,57,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.83,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,57,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.84,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,57,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.85,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,57,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.86,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,57;58,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.87,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,58,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.88,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,58,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
2.89,MATCH,MATCH,MATCH,1.000000,NORMALIZED_EXACT,UNCHANGED_BY_18_2024,SRC-010,58,PENDING_G1_REVIEW,"Deterministic text comparison only; not a legal or domain approval. Workbook explanation, implementation guidance and cross-references are non-normative."
