requirement_id,parent_control_ref,requirement_ref,requirement_text,source_ref,source_sheet,source_row,source_confidence,human_review_status,reviewer,reviewed_at,notes
REQ-0052,1.19,1.19.1,Azonosítja és dokumentálja:,SRC-009,1,72,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0053,1.19,1.19.1.1,"- a kockázatelemzést, kockázatkezelést és a kockázatok felügyeletét érintő feltételezéseit;",SRC-009,1,73,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0054,1.19,1.19.1.2,"- a kockázatelemzést, kockázatkezelést és a kockázatok felügyeletét érintő megkötéseit;",SRC-009,1,74,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0055,1.19,1.19.1.3,- a kockázatmenedzsment során figyelembe vett prioritásokat és kompromisszumokat; továbbá,SRC-009,1,75,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0056,1.19,1.19.1.4,- a szervezet kockázattűrő képességét.,SRC-009,1,76,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0057,1.19,1.19.2,Megosztja a kockázatmenedzsment tevékenység eredményeit a szervezet által meghatározott személyekkel.,SRC-009,1,77,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0058,1.19,1.19.3,A szervezet által meghatározott gyakorisággal elvégzi a kockázatmenedzsment keretrendszer szempontrendszerének felülvizsgálatát és frissítését.,SRC-009,1,78,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0059,1.20,1.20,A szervezet kijelöl:,SRC-009,1,80,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0060,1.20,1.20.1,"Egy kockázatkezelésért felelős személyt, aki összehangolja a szervezeti információbiztonsági irányítási folyamatokat a stratégiai, működési és költségvetés-tervezési folyamatokkal.",SRC-009,1,81,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0061,1.20,1.20.2,"Egy kockázati vezető szerepkört betöltő személyt, aki biztosítja a kockázatok szervezeti szintű áttekintését és elemzését, valamint a kockázatmenedzsment szervezeten belüli egységes működését.",SRC-009,1,82,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0062,1.21,1.21,A szervezet:,SRC-009,1,84,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0063,1.21,1.21.1,"Kidolgoz egy a szervezet egészére kiterjedő, az ellátási lánc kockázatainak kezelésére vonatkozó stratégiát az EIR-ek, rendszerelemek és rendszerszolgáltatások fejlesztésével, beszerzésével, karbantartásával, üzemeltetésével és selejtezésével kapcsolatosan.",SRC-009,1,85,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0064,1.21,1.21.2,Következetesen alkalmazza az ellátási lánc kockázatmenedzsment stratégiáját minden szervezeti egységében.,SRC-009,1,86,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0065,1.21,1.21.3,A változások lekövetésére az általa meghatározott gyakorisággal rendszeresen felülvizsgálja és frissíti az ellátási lánc kockázatmenedzsment stratégiáját.,SRC-009,1,87,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0066,1.22,1.22,"A szervezet azonosítja, rangsorolja és értékeli azokat a beszállítókat, amelyek a szervezet működése szempontjából kritikus technológiákat, termékeket és szolgáltatásokat szállítanak a szervezet alapvető feladatainak ellátásához.",SRC-009,1,89,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0067,1.23,1.23,"A szervezet folyamatos felügyeleti stratégiát fejleszt ki és folyamatos felügyeleti programot működtet, amely magában foglalja:",SRC-009,1,91,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0068,1.23,1.23.1,Az egész szervezet számára teljesítménymutatók meghatározását.,SRC-009,1,92,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0069,1.23,1.23.2,A felügyelet és a hatékonyság-értékelés gyakoriságának meghatározását.,SRC-009,1,93,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0070,1.23,1.23.3,"A teljesítménymutatók folyamatos, a felügyeleti stratégia szerint történő figyelemmel kísérését.",SRC-009,1,94,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0071,1.23,1.23.4,A felügyelet és az elvégzett értékelések adatai közötti összefüggések és információk elemzését.,SRC-009,1,95,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0072,1.23,1.23.5,A védelmi intézkedések értékelésék és felügyeleti információk eredményéből származtatott válaszlépések megtételét.,SRC-009,1,96,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0073,1.23,1.23.6,"Az EIR biztonsági állapotáról rendszeres időközönként, a kijelölt személyeknek történő jelentést.",SRC-009,1,97,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0074,2.1,2.1,A szervezet:,SRC-009,2,3,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0075,2.1,2.1.1,"Kidolgozza, dokumentálja, kiadja és megismerteti a szervezet által meghatározott személyekkel szerepkörük szerint",SRC-009,2,4,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0076,2.1,2.1.1.1,"- a szervezeti-, folyamat és rendszerszintű követelményeket tartalmazó hozzáférés-felügyeleti szabályzatot, amely",SRC-009,2,5,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0077,2.1,2.1.1.1.1,"- meghatározza a célkitűzéseket, a hatókört, a szerepköröket, a felelősségeket, a vezetői elkötelezettséget, a szervezeten belüli együttműködés kereteit és a megfelelőségi kritériumokat, továbbá",SRC-009,2,6,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0078,2.1,2.1.1.1.2,"- összhangban van a szervezetre vonatkozó, hatályos jogszabályokkal, irányelvekkel, szabályozásokkal, szabványokkal és ajánlásokkal.",SRC-009,2,7,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0079,2.1,2.1.1.2,"- a hozzáférés-felügyeleti eljárásrendet, amely a hozzáférés-felügyeleti szabályzat és az ahhoz kapcsolódó ellenőrzések megvalósítását segíti elő.",SRC-009,2,8,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0080,2.1,2.1.2,"Kijelöl egy, a szervezet által meghatározott személyt, aki a hozzáférés-felügyeleti szabályzat és eljárások kidolgozásának, dokumentálásának, kiadásának és megismertetésének irányításáért felel.",SRC-009,2,9,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0081,2.1,2.1.3,"Felülvizsgálja és frissíti az aktuális hozzáférés-felügyeleti szabályzatot, a hozzáférés-felügyeleti eljárásokat és eljárásrendet a szervezet által meghatározott gyakorisággal és a szervezet által meghatározott események bekövetkezését követően.",SRC-009,2,10,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0082,2.2,2.2,A szervezet:,SRC-009,2,12,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0083,2.2,2.2.1,Meghatározza és dokumentálja a rendszerben engedélyezett és kifejezetten tiltott fióktípusokat.,SRC-009,2,13,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0084,2.2,2.2.2,Kijelöli a fiókkezelőket.,SRC-009,2,14,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0085,2.2,2.2.3,Kialakítja a csoport- és szerepkör tagsági feltételeket és kritériumokat.,SRC-009,2,15,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0086,2.2,2.2.4,Meghatározza:,SRC-009,2,16,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0087,2.2,2.2.4.1,- a rendszerben engedélyezett felhasználókat.,SRC-009,2,17,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0088,2.2,2.2.4.2,- a csoport- és szerepkör tagságokat.,SRC-009,2,18,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0089,2.2,2.2.4.3,- a hozzáférési jogosultságokat és a felhasználói fiókokhoz tartozó szükséges jellemzőket minden egyes felhasználói fiókra.,SRC-009,2,19,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0090,2.2,2.2.5,A meghatározott szerepköröket betöltő személyek jóváhagyását kéri a felhasználói fiókok létrehozására vonatkozó kérelmek esetén.,SRC-009,2,20,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0091,2.2,2.2.6,"Létrehozza, engedélyezi, módosítja, letiltja és törli a fiókokat a meghatározott irányelvek, eljárások, előfeltételek és kritériumok alapján.",SRC-009,2,21,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0092,2.2,2.2.7,Nyomon követi a fiókok használatát.,SRC-009,2,22,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0093,2.2,2.2.8,Értesíti a fiókkezelőket és a meghatározott személyeket vagy szerepköröket a következő esetekben:,SRC-009,2,23,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0094,2.2,2.2.8.1,"- meghatározott időn belül, amikor a fiókok már nem szükségesek.",SRC-009,2,24,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0095,2.2,2.2.8.2,"- meghatározott időn belül, amikor a felhasználók jogviszonya megszűnik.",SRC-009,2,25,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0096,2.2,2.2.8.3,"- meghatározott időn belül, amikor a rendszerhasználat vagy az egyén számára szükséges ismeretek megváltoznak.",SRC-009,2,26,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0097,2.2,2.2.9,Engedélyezi a rendszerhez való hozzáférést a következők alapján:,SRC-009,2,27,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0098,2.2,2.2.9.1,- érvényes hozzáférési engedély;,SRC-009,2,28,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0099,2.2,2.2.9.2,- tervezett rendszerhasználat;,SRC-009,2,29,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0100,2.2,2.2.9.3,"- egyéb, a szervezet által meghatározott jellemzők.",SRC-009,2,30,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0101,2.2,2.2.10,"Ellenőrzi a felhasználói fiókokat a fiókkezelési követelmények betartása szempontjából, a meghatározott gyakorisággal.",SRC-009,2,31,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0102,2.2,2.2.11,Létrehoz és végrehajt egy folyamatot a megosztott vagy csoport felhasználói fiókok hitelesítési adatainak megváltoztatására az egyének csoportból történő eltávolításának esetére.,SRC-009,2,32,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0103,2.2,2.2.12,Összehangolja a fiókkezelési folyamatokat a felhasználók jogviszonyának megszűntetési folyamataival.,SRC-009,2,33,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0104,2.3,2.3,A szervezet meghatározott automatizált mechanizmusok segítségével támogatja az EIR fiókjainak kezelését.,SRC-009,2,35,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0105,2.4,2.4,Az EIR a meghatározott időtartam letelte után automatikusan eltávolítja vagy letiltja az ideiglenes és vészhelyzeti fiókokat.,SRC-009,2,37,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0106,2.5,2.5,"Az EIR a meghatározott időtartam letelte után letiltja a fiókokat, vagy amikor a fiókok:",SRC-009,2,39,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
REQ-0107,2.5,2.5.1,"- lejártak,",SRC-009,2,40,unverified_internal,PROPOSED,,,Az eredeti munkafüzetből determinisztikusan kinyert részletes követelmény.
